ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography
1,"Male",2017,"2017",1,"Full-time","412031","Retail salespersons",50004.664321735814,4118.053346553123,70791,6500.633365916363,608,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","412031","Retail salespersons",41425.70337832441,4428.498736475137,50084,5475.640333927775,383,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","311010","Nursing, psychiatric, & home health aides",29463.65034623433,1029.1194413018868,151487,9456.404212413212,1175,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",97162.74996996275,7999.863650284613,91553,7382.114188743099,902,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",69458.3395331446,1994.3106881109002,187210,10486.224654785772,2005,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",48327.44692505602,6250.647779513368,12049,2692.730513262869,123,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","311010","Nursing, psychiatric, & home health aides",40546.49248252627,11808.77432433169,19887,3457.5561195005625,162,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","119XXX","Miscellaneous managers",126639.50451554087,8437.161695611398,140404,9110.940453248908,1424,"New York","04000US36"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",74582.99323923615,3032.9162981577656,59017,5940.2846687404535,593,"New York","04000US36"
2,"Female",2017,"2017",1,"Full-time","436010","Secretaries & administrative assistants",46580.88840433926,1523.3577839162574,166019,9889.5617165111,1776,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","436010","Secretaries & administrative assistants",54493.69552339849,8331.824494715662,11817,2666.6747471951976,106,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","311010","Nursing, psychiatric, & home health aides",32867.259040590405,3011.586112001515,18970,3377.0143581151906,166,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",119749.64250404525,7538.900755834475,134726,8926.468376829333,1346,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",73196.53632418418,3559.844971799821,53229,5643.261250109494,579,"New York","04000US36"
2,"Female",2016,"2016",1,"Full-time","412031","Retail salespersons",38327.27175457661,3911.9197908213364,47852,5352.665686326279,382,"New York","04000US36"
2,"Female",2016,"2016",1,"Full-time","436010","Secretaries & administrative assistants",46591.115886989035,1868.9410934226437,171417,10042.572527679245,1853,"New York","04000US36"
2,"Female",2016,"2016",1,"Full-time","311010","Nursing, psychiatric, & home health aides",29309.154187763415,1265.0149604694327,141412,9140.933362055453,1164,"New York","04000US36"
2,"Female",2016,"2016",1,"Full-time","119XXX","Miscellaneous managers",92030.39340465935,6451.879143122135,86364,7171.476414147601,860,"New York","04000US36"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",66588.95195584935,2110.853024333008,164890,9854.116621841538,1827,"New York","04000US36"
1,"Male",2016,"2016",1,"Full-time","412031","Retail salespersons",49105.702869913606,3682.8496830230406,73382,6616.597782443147,653,"New York","04000US36"
2,"Female",2015,"2015",1,"Full-time","412031","Retail salespersons",34819.954141014205,3689.6005847311035,45967,5246.890808651763,396,"New York","04000US36"
2,"Female",2015,"2015",1,"Full-time","311010","Nursing, psychiatric, & home health aides",30434.25348399764,1975.224608784404,145666,9274.690767217911,1209,"New York","04000US36"
2,"Female",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",88049.88038820728,7058.869432042432,81915,6986.550408207331,772,"New York","04000US36"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",65194.69534428748,1832.3062731940558,166634,9904.974608281482,1824,"New York","04000US36"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",69300.5770235524,3142.1215659046575,48615,5394.900125006934,530,"New York","04000US36"
1,"Male",2015,"2015",1,"Full-time","412031","Retail salespersons",49249.05276225947,4658.072454940796,70884,6504.181765544452,597,"New York","04000US36"
1,"Male",2015,"2015",1,"Full-time","436010","Secretaries & administrative assistants",52086.9482498744,9196.54366357551,11942,2680.7204574700972,121,"New York","04000US36"
1,"Male",2015,"2015",1,"Full-time","311010","Nursing, psychiatric, & home health aides",35716.39371053609,4663.693010636378,16154,3116.9174105017214,141,"New York","04000US36"
1,"Male",2015,"2015",1,"Full-time","119XXX","Miscellaneous managers",115116.70076864857,8039.883352879881,144019,9223.189155839842,1404,"New York","04000US36"
2,"Female",2015,"2015",1,"Full-time","436010","Secretaries & administrative assistants",44689.81237782217,1955.660701549751,186204,10455.83636877281,1862,"New York","04000US36"
2,"Female",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",86535.97444580542,7139.084872658834,83274,7043.1094869405515,772,"New York","04000US36"
2,"Female",2014,"2014",1,"Full-time","311010","Nursing, psychiatric, & home health aides",28856.599282807118,948.3217042772274,157001,9619.763753571722,1247,"New York","04000US36"
2,"Female",2014,"2014",1,"Full-time","436010","Secretaries & administrative assistants",46001.66826038985,2019.9796905259848,174016,10115.196384240035,1866,"New York","04000US36"
2,"Female",2014,"2014",1,"Full-time","412031","Retail salespersons",35158.306281083074,3264.32762523729,54290,5698.569685851499,459,"New York","04000US36"
1,"Male",2014,"2014",1,"Full-time","412031","Retail salespersons",48244.48767945147,4544.516893274561,74672,6673.520325556038,651,"New York","04000US36"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",70248.66987579485,3373.20211638954,50481,5496.51504673354,563,"New York","04000US36"
1,"Male",2014,"2014",1,"Full-time","311010","Nursing, psychiatric, & home health aides",41306.87718526663,5361.494161196119,18190,3306.99390645879,135,"New York","04000US36"
1,"Male",2014,"2014",1,"Full-time","436010","Secretaries & administrative assistants",51001.86967322759,8076.698449391899,10466,2509.830580859816,105,"New York","04000US36"
1,"Male",2014,"2014",1,"Full-time","119XXX","Miscellaneous managers",118641.48435049821,7603.079227727824,142209,9165.147267351327,1354,"New York","04000US36"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",67238.1297699538,2137.374925504038,169053,9973.484313369827,1835,"New York","04000US36"